id,left,top,right,bottom
"1689",-2.609629566,52.915090177,-2.609529566,52.915190177
"1733",-2.609529566,52.915090177,-2.609429566,52.915190177
"1776",-2.609429566,52.915190177,-2.609329566,52.915290177
"1777",-2.609429566,52.915090177,-2.609329566,52.915190177
"1820",-2.609329566,52.915190177,-2.609229566,52.915290177
"1821",-2.609329566,52.915090177,-2.609229566,52.915190177
"1864",-2.609229566,52.915190177,-2.609129566,52.915290177
"1865",-2.609229566,52.915090177,-2.609129566,52.915190177
"1908",-2.609129566,52.915190177,-2.609029566,52.915290177
"1909",-2.609129566,52.915090177,-2.609029566,52.915190177
"1952",-2.609029566,52.915190177,-2.608929566,52.915290177
"1953",-2.609029566,52.915090177,-2.608929566,52.915190177
"1996",-2.608929566,52.915190177,-2.608829566,52.915290177
"1997",-2.608929566,52.915090177,-2.608829566,52.915190177
"2040",-2.608829566,52.915190177,-2.608729566,52.915290177
